BUDGET FISCAL YEAR,DEPARTMENT NAME,FUND NAME,ACCOUNT NAME,ADOPTED BUDGET AMOUNT,TOTAL EXPENDITURES,BUDGET CHANGE AMOUNT,BUDGET TRANSFER IN AMOUNT,BUDGET TRANSFER OUT AMOUNT,TOTAL BUDGET,ENCUMBRANCE AMOUNT,PRE-ENCUMBRANCE AMOUNT,BUDGET UNCOMMITTED AMOUNT,ACCOUNT GROUP NAME,FUND,ACCOUNT
2016,TRANSPORTATION,PERMIT PARKING PROG REV FD,OFFICE AND ADMINISTRATION EXPENSE,0.00,109348.86,114125.00,0.00,0.00,114125.00,226.30,0.00,4776.14,,49C,94MB02
2019,TRANSPORTATION,VENTURA/CAHUENGA CORRIDOR PLAN,TRANSPORTATION,325102.00,163928.39,-161173.61,0.00,0.00,163928.39,0.00,0.00,0.00,,523,94R194
2013,TRANSPORTATION,SPECIAL PARKING REVENUE,MISCELLANEOUS EQUIPMENT,95000.00,74186.47,-20813.53,0.00,0.00,74186.47,0.00,0.00,0.00,,363,94J020
2015,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TRAFFIC SIGNAL SUPPLIES,1311063.00,1042011.55,-269051.45,0.00,0.00,1042011.55,-0.00,0.00,0.00,,540,94L800
2020,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,PAINT AND SIGN MAINTENANCE,100000.00,99577.17,0.00,0.00,0.00,100000.00,6783.79,0.00,422.83,SPECIAL,540,94S478
2023,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,FACILITY LEASE,600000.00,296644.80,0.00,0.00,0.00,600000.00,24720.40,0.00,303355.20,SPECIAL,385,94WA23
2018,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,SHELDON ARLETA SIDEWALK IMPROVEMENT· WICKS STREET,1420270.00,1420270.00,0.00,0.00,0.00,1420270.00,1036861.45,0.00,0.00,,59C,94PV21
2022,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),UNIFORMS,146095.00,50919.01,0.00,0.00,0.00,146095.00,147.82,0.00,95175.99,EXPENSES,100,004430
2024,TRANSPORTATION,SPECIAL PARKING REVENUE,CONTRACTUAL SERVICES,23042000.00,2772709.66,0.00,0.00,0.00,23042000.00,1809777.11,0.00,20269290.34,SPECIAL,363,94Y050
2022,TRANSPORTATION,TRANSPORTATION GRANTS FUND,LOCAL RDWY SAFETY PLAN: VISION ZERO LA SFTY STUDY & SYSTEMIC,0.00,180000.00,180000.00,0.00,0.00,180000.00,158445.00,0.00,0.00,,655,94VT3F
2014,TRANSPORTATION,MICLA LEASE REV COM PAPER NTES,GENERAL SERVICES DEPT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,298,94K140
2024,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),UNIFORMS,146095.00,30599.73,0.00,0.00,0.00,146095.00,23366.72,0.00,115495.27,EXPENSES,100,004430
2024,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,17431025.00,3581695.57,2475000.00,0.00,0.00,19906025.00,2309471.85,2475000.00,13834269.50,EXPENSES,100,003040
2024,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),TRAVEL,0.00,2009.95,0.00,63000.00,0.00,63000.00,933.07,0.00,60990.05,EXPENSES,100,002130
2022,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,TRAFFIC SIGNAL SUPPLIES,3000000.00,1966181.97,-32500.00,0.00,0.00,2967500.00,25333.38,0.00,1001318.03,SPECIAL,59C,94V800
2022,TRANSPORTATION,ATSAC TRUST,GENERAL SERVICES,0.00,1185126.60,1185126.60,0.00,0.00,1185126.60,0.00,0.00,0.00,,484,94V140
2017,TRANSPORTATION,TRANSPORTATION GRANTS FUND,PASADENA AVE PED CONNECTION TO GOLD LINE HERITAGE SQUARE,0.00,150635.91,1011400.00,0.00,0.00,1011400.00,0.00,0.00,860764.09,,655,94NT54
2021,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,MATCHING FUNDS - MEASURE R PROJECTS/LRPT/30-10,20000000.00,20000000.00,0.00,0.00,0.00,20000000.00,0.00,0.00,0.00,SPECIAL,385,94T200
2017,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TRAVEL & TRAINING,40000.00,76264.27,36264.27,0.00,0.00,76264.27,0.00,0.00,0.00,,540,94N314
2024,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,BICYCLE PLAN/PROGRAM - OTHER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,51Q,94Y482
2021,TRANSPORTATION,TRANSPORTATION GRANTS FUND,SOTO ST BRIDGE WIDENING OVER VALLEY BLVD - LAMIP100,0.00,1998355.33,4000000.00,0.00,0.00,4000000.00,99917.77,1644.67,2000000.00,,655,94TT2I
2014,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,REIMBURSEMENT OF GENERAL FUND COSTS,6496419.00,6496419.00,0.00,0.00,0.00,6496419.00,0.00,0.00,0.00,,51Q,94K299
2024,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT BUS COMMUNICATIONS,1700000.00,56394.15,0.00,0.00,0.00,1700000.00,0.00,0.00,1643605.85,SPECIAL,385,94YA24
2024,TRANSPORTATION,SPECIAL PARKING REVENUE,BUREAU OF ENGINEERING,0.00,20000.00,20000.00,0.00,0.00,20000.00,0.00,0.00,0.00,,363,94Y178
2018,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TRAVEL & TRAINING,40000.00,38455.29,0.00,0.00,0.00,40000.00,0.00,0.00,1544.71,,540,94P314
2020,TRANSPORTATION,SPECIAL PARKING REVENUE,GENERAL SERVICES,0.00,91830.43,91830.43,0.00,0.00,91830.43,0.00,0.00,0.00,,363,94S140
2024,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT SIGN PRODUCTION AND INSTALLATION,420000.00,90000.00,0.00,0.00,0.00,420000.00,82158.49,0.00,330000.00,,385,94Y240
2020,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,TECHNOLOGY AND COMMUNICATIONS,25000.00,25000.00,0.00,0.00,0.00,25000.00,0.00,0.00,0.00,SPECIAL,51Q,94SM13
2023,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,CITYRIDE FARE CARD,2766800.00,2766800.00,0.00,0.00,0.00,2766800.00,1650792.56,0.00,0.00,SPECIAL,385,94WA28
2020,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,FACILITY UPGRADES FOR ELECTRIFICATION,14000000.00,222251.00,0.00,0.00,0.00,14000000.00,100732.00,0.00,13777749.00,SPECIAL,385,94SA20
2019,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),UNIFORMS,146095.00,72321.39,0.00,0.00,0.00,146095.00,0.00,0.00,73773.61,EXPENSES,100,004430
2018,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,CITYRIDE SCRIP,1500000.00,575435.41,-924564.59,0.00,0.00,575435.41,-0.00,0.00,0.00,SPECIAL,385,94P422
2016,TRANSPORTATION,DEPT TRANSPORTATION TRUST,POP-UP BIKEWAYS,0.00,57503.08,100000.00,0.00,0.00,100000.00,0.00,0.00,42496.92,,840,94ME01
2023,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,L. A. NEIGHBORHOOD INITIATIVE,550000.00,550000.00,0.00,0.00,0.00,550000.00,0.00,0.00,0.00,SPECIAL,540,94W993
2014,TRANSPORTATION,ATSAC TRUST,CAMERA-MAINTENANCE AND REPLACEMENT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,484,94K412
2019,TRANSPORTATION,WEST LA TRANSP IMPROV & MITIGA,REGIONAL/SUB REG TRASNP IMPROV,0.00,2232.00,50000.00,0.00,0.00,50000.00,0.00,0.00,47768.00,,681,94R08N
2019,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,BICYCLE PLAN/PROGRAM - OTHER,150000.00,150000.00,0.00,0.00,0.00,150000.00,0.00,0.00,0.00,SPECIAL,540,94R482
2017,TRANSPORTATION,TRANSPORTATION GRANTS FUND,MAGNOLIA BLVD (NORTH) WIDENING-CAHUENGA BLVD TO VINELAND AVE,0.00,554626.59,6301903.00,0.00,0.00,6301903.00,145539.52,108755.00,5638521.41,,655,94NT58
2024,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TRAFFIC SIGNAL SUPPLIES,5405855.00,1111152.33,0.00,0.00,0.00,5405855.00,1067339.27,0.00,4289197.98,SPECIAL,540,94Y800
2024,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),HIRING HALL SALARIES,200000.00,23802.55,0.00,0.00,0.00,200000.00,0.00,0.00,176197.45,SALARIES AND BENEFITS,100,001100
2024,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,FACILITY LEASE,724952.00,0.00,0.00,0.00,0.00,724952.00,0.00,0.00,724952.00,SPECIAL,385,94YA23
2016,TRANSPORTATION,LOCAL TRANSPORTATION,SAFETY EDUCATION,100000.00,0.00,-100000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,207,94M997
2017,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,OFFICE SUPPLIES,50000.00,54963.68,97726.51,0.00,0.00,147726.51,0.00,0.00,92762.83,SPECIAL,540,94N415
2012,TRANSPORTATION,ATSAC TRUST,ATSAC SPACE NEEDS ASSESSMENT STUDY,0.00,40000.00,40000.00,0.00,0.00,40000.00,0.00,0.00,0.00,,484,94H231
2019,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),OFFICE AND ADMINISTRATIVE,535625.00,735516.42,0.00,352000.00,16977.43,870647.57,-0.00,0.00,135131.15,EXPENSES,100,006010
2023,TRANSPORTATION,TRANSPORTATION GRANTS FUND,CENTRAL LA MSP: LOS ANGELES SRTS ELEMENTARY SCHOOL,0.00,0.00,1678483.00,0.00,0.00,1678483.00,0.00,0.00,1678483.00,,655,94WT4I
2022,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,PEDESTRIAN PLAN/PROGRAM,2000000.00,895413.98,-80000.00,0.00,0.00,1920000.00,415306.25,511831.61,512754.41,SPECIAL,51Q,94V487
2016,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,MEMBERSHIPS AND SUBSCRIPTIONS,35000.00,27392.00,-7608.00,0.00,0.00,27392.00,0.00,0.00,0.00,,385,94M223
2014,TRANSPORTATION,LOCAL TRANSPORTATION,BICYCLE FAC SUPPORT MATERIAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,207,94313Y
2016,TRANSPORTATION,ATSAC TRUST,USC-CEN 09-5110 PROJ LOCATE AT 3500 FIGUEROA ST,0.00,390790.81,400000.00,0.00,0.00,400000.00,0.00,0.00,9209.19,,484,94MU04
2023,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),UNIFORMS,146095.00,46894.51,0.00,0.00,63888.00,82207.00,10977.01,0.00,35312.49,EXPENSES,100,004430
2024,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT OPERATIONS,163765410.00,122556000.00,0.00,0.00,0.00,163765410.00,113839309.48,0.00,41209410.00,SPECIAL,385,94Y431
2021,TRANSPORTATION,TRANSPORTATION GRANTS FUND,HUNTINGTON DR MULTI-MODAL TRANSPORTAION IMPROVEMENT-LAMIP104,0.00,1497875.77,4000000.00,0.00,0.00,4000000.00,24245.59,2124.23,2500000.00,,655,94TT2H
2022,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,CITY ATTORNEY,217422.00,217422.00,0.00,0.00,0.00,217422.00,0.00,0.00,0.00,,540,94V112
2012,TRANSPORTATION,TRANSPORTATION GRANTS FUND,HSIP CYCLE 4-48TH STREET,0.00,342297.78,342297.78,0.00,0.00,342297.78,0.00,0.00,0.00,,655,94H579
2021,TRANSPORTATION,COASTAL TRANSP CORRIDOR TRUST,UNAPPROPRIATED BALANCE,0.00,0.00,15413.00,0.00,0.00,15413.00,0.00,0.00,15413.00,,447,94158T
2022,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,MAYOR,27053.00,27053.00,0.00,0.00,0.00,27053.00,0.00,0.00,0.00,,528,94146V
2022,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT FACILITY SECURITY AND MAINTENANCE,2000000.00,2000000.00,0.00,0.00,0.00,2000000.00,189691.58,0.00,0.00,SPECIAL,385,94V427
2024,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),OFFICE AND ADMINISTRATIVE,661525.00,108562.78,0.00,0.00,0.00,661525.00,56251.47,0.00,552908.81,EXPENSES,100,006010
2022,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,CONTROLLER,108577.00,78001.16,0.00,0.00,0.00,108577.00,0.00,0.00,30575.84,,385,94V126
2024,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,140280.00,16375.16,0.00,0.00,0.00,140280.00,0.00,0.00,123904.84,EXPENSES,100,003310
2023,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,16831025.00,19449094.62,2529921.57,5871274.47,1794533.08,23437687.96,2993814.74,0.00,3988593.34,EXPENSES,100,003040
2019,TRANSPORTATION,TRANSPORTATION REVIEW FEE FUND,ENHANCEMENT COSTS-DEVELOPMENT REVIEW,0.00,27067.95,133188.54,0.00,0.00,133188.54,3817.66,0.00,106120.59,,50Y,94RY01
2023,TRANSPORTATION,TRANSP REGULATION &ENFORCEMENT,TRANSPORTATION,269025.00,0.00,0.00,0.00,0.00,269025.00,0.00,0.00,269025.00,,596,94W194
2022,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TRAFFIC SIGNAL SUPPLIES,2000000.00,1729758.77,0.00,0.00,0.00,2000000.00,407992.54,0.00,169435.35,SPECIAL,540,94V800
2022,TRANSPORTATION,SPECIAL PARKING REVENUE,CONTRACTUAL SERVICES,23000000.00,16980097.40,-3028993.74,0.00,0.00,19971006.26,1450954.26,0.00,2990908.86,SPECIAL,363,94V050
2023,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,REIMBURSEMENT OF GENERAL FUND COSTS,21255087.00,13331930.00,0.00,0.00,0.00,21255087.00,0.00,0.00,7923157.00,,51Q,94W299
2012,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,148280.00,163250.23,0.00,21502.00,0.00,169782.00,0.00,0.00,6531.77,EXPENSES,100,003310
2022,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,23350926.00,18612425.57,387000.00,4000000.00,153475.00,27584451.00,522892.11,0.00,8972025.43,EXPENSES,100,003040
2016,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT STORE,750000.00,746078.64,-3921.36,0.00,0.00,746078.64,0.00,0.00,0.00,SPECIAL,385,94M420
2017,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,BICYCLE PLAN/PROGRAM - OTHER,290000.00,526522.36,238618.92,0.00,0.00,528618.92,0.00,0.00,2096.56,SPECIAL,540,94N482
2016,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,PAVEMENT PRESERVATION OVERTIME,700000.00,0.00,-700000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,540,94MC01
2024,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,PAINT AND SIGN MAINTENANCE,3471186.00,257061.70,0.00,0.00,0.00,3471186.00,0.00,0.00,3214124.30,SPECIAL,540,94Y478
2020,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,SENIOR/YOUTH TRANSPORTATION PR,850000.00,637866.22,-88713.75,0.00,0.00,761286.25,0.00,0.00,123420.03,,385,94S226
2023,TRANSPORTATION,WEST LA TRANSP IMPROV & MITIGA,TRANSPORTATION,328131.00,328131.00,0.00,0.00,0.00,328131.00,0.00,0.00,0.00,,681,94W194
2017,TRANSPORTATION,TRANSPORTATION GRANTS FUND,ATP 2 - COLORADO PEDESTRIAN IMPROVEMENTS,0.00,1960749.16,2467800.00,0.00,0.00,2467800.00,164561.99,0.00,263188.49,,655,94NT74
2023,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,VISION ZERO TREATMENT MAINTENANCE,1000000.00,852885.40,0.00,0.00,0.00,1000000.00,0.00,0.00,147114.60,SPECIAL,59C,94WV67
2024,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),CONSTRUCTION EXPENSE,4560.00,0.00,0.00,0.00,0.00,4560.00,0.00,0.00,4560.00,EXPENSES,100,003030
2016,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),OFFICE AND ADMINISTRATIVE,585625.00,519393.48,0.00,270213.00,756.20,855081.80,-0.00,0.00,335688.32,EXPENSES,100,006010
2013,TRANSPORTATION,ATSAC TRUST,G H PALMER ASSOCIATES,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,484,94J539
2021,TRANSPORTATION,TRANSPORTATION GRANTS FUND,VALLEY BLVD MULTI-MODAL TRANSPORTATION IMPROVEMENT-LAMIP103,0.00,3116508.43,7800000.00,0.00,0.00,7800000.00,1338721.43,1556899.00,2558681.00,,655,94TT2G
2021,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,VISION ZERO CORRIDOR PROJECTS - M,3065487.00,2101103.42,0.00,0.00,0.00,3065487.00,615274.70,38240.68,926142.90,SPECIAL,59C,94TG25
2018,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT OPERATIONS CONSULTANT,250000.00,99880.00,-150120.00,0.00,0.00,99880.00,0.00,0.00,0.00,SPECIAL,385,94P429
2021,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT SIGN PROD & INSTALLATI,300000.00,298302.20,-1697.80,0.00,0.00,298302.20,0.00,0.00,0.00,,385,94T240
2013,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,CALTRANS MAINTENANCE,30000.00,0.00,-30000.00,0.00,0.00,0.00,0.00,0.00,0.00,,540,94J509
2020,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,CARSHARE BIKESHARE PROFESSIONAL SERVICES,200000.00,0.00,-200000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,528,9403PS
2012,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),OPERATING SUPPLIES,75000.00,59447.65,0.00,15000.00,0.00,90000.00,0.00,0.00,30552.35,EXPENSES,100,006020
2019,TRANSPORTATION,TRANSPORTATION GRANTS FUND,ATP-3 JEFFERSON BL COMPLETE STREET (ATPL-5006855),0.00,5940867.00,5940867.00,0.00,0.00,5940867.00,5410999.15,0.00,-0.00,,655,94RT0P
2022,TRANSPORTATION,TRANSPORTATION GRANTS FUND,MISSION MILE: SEPULVEDA VISIONING FOR A SAFE & ACTIVE COMM.,0.00,1701274.00,39920000.00,0.00,0.00,39920000.00,1701274.00,821844.00,37396882.00,,655,94VT3C
2020,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TECHNOLOGY AND COMMUNICATIONS EQUIPMENT,130000.00,130000.00,0.00,0.00,0.00,130000.00,0.00,0.00,0.00,SPECIAL,385,94S406
2024,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,SENIOR/YOUTH TRANSPORTATION CHARTER BUS PROGRAM,890000.00,870735.00,0.00,0.00,0.00,890000.00,844618.00,0.00,19265.00,,385,94Y226
2012,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),TRAVEL,0.00,9398.89,0.00,12000.00,502.00,11498.00,0.00,0.00,2099.11,EXPENSES,100,002130
2022,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,ATSAC SYSTEMS MAINTENANCE,3000000.00,1895266.00,-47927.00,0.00,0.00,2952073.00,1052365.11,0.00,896784.25,SPECIAL,51Q,94V634
2022,TRANSPORTATION,SPECIAL PARKING REVENUE,"REPLACEMENT PARTS, TOOLS AND EQUIPMENT",1400000.00,1330439.73,0.00,0.00,0.00,1400000.00,153898.38,0.00,69560.27,SPECIAL,363,94V070
2024,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),SIGNAL SUPPLIES AND REPAIRS,521800.00,409578.95,0.00,0.00,0.00,521800.00,2758.79,0.00,112221.05,EXPENSES,100,003360
2012,TRANSPORTATION,ARRA-TRANSPORTATION PROJ SPECI,STREET LIGHTING,0.00,93971.03,93971.03,0.00,0.00,93971.03,0.00,0.00,0.00,,51X,94H184
2018,TRANSPORTATION,VENTURA/CAHUENGA CORRIDOR PLAN,TRANSPORTATION,237065.00,109437.89,-127627.11,0.00,0.00,109437.89,0.00,0.00,0.00,,523,94P194
2023,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),UTILITIES EXPENSE PRIVATE COMPANY,95000.00,89109.08,0.00,0.00,0.00,95000.00,13470.32,0.00,5890.92,EXPENSES,100,003330
2012,TRANSPORTATION,TRANSPORTATION GRANTS FUND,OVERLAND BRIDGE PROJECT,0.00,243831.10,350000.00,0.00,0.00,350000.00,97837.55,0.00,106168.90,,655,94H433
2023,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),OFFICE AND ADMINISTRATIVE,585625.00,837780.72,0.00,1266703.00,21114.30,1831213.70,76060.55,0.00,993432.98,EXPENSES,100,006010
2016,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,PW-ENGINEERING,723029.00,884136.33,161107.33,0.00,0.00,884136.33,0.00,0.00,0.00,,51Q,94M178
2023,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT SIGN PRODUCTION AND INSTALLATION,300000.00,173791.00,0.00,0.00,0.00,300000.00,0.00,0.00,126209.00,SPECIAL,385,94W240
2018,TRANSPORTATION,TRANSPORTATION GRANTS FUND,ATP3 DTLA ARTS DISTRICT PED & CYCLIST SAFETY,0.00,13021248.98,14850000.00,0.00,0.00,14850000.00,10691989.62,0.00,1828751.02,,655,94PT90
2019,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,CARSHARE BIKESHARE PROFESSIONAL SERVICES,200000.00,18615.00,-181385.00,0.00,0.00,18615.00,0.00,0.00,0.00,SPECIAL,528,9403PR
2013,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,FUEL REIMBURSEMENT,3000000.00,3000000.00,0.00,0.00,0.00,3000000.00,0.00,0.00,0.00,,385,94J418
2014,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,STAIRWAY AND WALKWAY LIGHTING UNIT 7,100000.00,0.00,-100000.00,0.00,0.00,0.00,0.00,0.00,0.00,,51Q,94K679
2023,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,REIMBURSEMENT OF GENERAL FUND COSTS,29593592.00,26606575.19,0.00,0.00,0.00,29593592.00,0.00,0.00,2987016.81,,540,94W299
2024,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),FIELD EQUIPMENT EXPENSE,96725.00,46753.02,0.00,0.00,0.00,96725.00,12472.70,0.00,49971.98,EXPENSES,100,003090
2012,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,COMMUTER TRANSP IMPLEMENTATION,220000.00,118380.52,-101619.48,0.00,0.00,118380.52,0.00,0.00,0.00,,385,94H221
2022,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TECH & COMMUNICATIONS EQUIPMEN,130000.00,10316.37,0.00,0.00,0.00,130000.00,515.50,0.00,119683.63,,385,94V406
2024,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,11540290.00,1982636.60,0.00,0.00,0.00,11540290.00,0.00,0.00,9557653.40,SALARIES AND BENEFITS,100,001070
2020,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,BICYCLE PLAN/PROGRAM - OTHER,150000.00,156345.35,129770.39,0.00,0.00,279770.39,0.00,0.00,123425.04,SPECIAL,540,94S482
2022,TRANSPORTATION,COASTAL TRANSP CORRIDOR TRUST,REIMBURSEMENT OF GENERAL FUND COSTS,639059.00,287736.12,-351322.88,0.00,0.00,287736.12,0.00,0.00,0.00,SPECIAL,447,94299V
2023,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,SENIOR CITYRIDE PROGRAM,8590000.00,3293729.00,0.00,0.00,0.00,8590000.00,0.00,0.00,5296271.00,,385,94W599
