Category,Attribute,Value
Carpool and Expressway,Number of transponders issued for Metro ExpressLanes,1.4 million
Carpool and Expressway,Number of trips taken on Metro ExpressLanes,342097711 trips
Carpool and Expressway,Number of soundwalls Metro has built since 2000,20.7 miles
Freeway Service Patrol,Number of tow truck beats,43
Freeway Service Patrol,Number of tow trucks on patrol,138
Freeway Service Patrol,Number of freeway miles served,475
Freeway Service Patrol,Number of motorists assisted monthly,25k / month
Freeway Service Patrol,Motorist hours saved annually from sitting in traffic,9.8 million hours
Freeway Service Patrol,Gallons of fuel savings annually,16.9 million gallons
Freeway Service Patrol,Emissions reductions annually,150 million kg CO2
Freeway Service Patrol,Annual budget,$38 million
Metro Personnel (As of June '23),Microtransit operators,166
Metro Personnel (As of June '23),Bus operators (full-time),3896
Metro Personnel (As of June '23),Bus operators (part-time),657
Metro Personnel (As of June '23),Rail operators,439
Metro Personnel (As of June '23),Represented employees,9692
Metro Personnel (As of June '23),Non-represented employees,1747
Metro Personnel (As of June '23),Total full-time staff,10290
Metro FY24 Adopted Budget,Revenues (in millions)
Metro FY24 Adopted Budget,Passenger Fares,$146.8
Metro FY24 Adopted Budget,ExpressLane tolls,$65.5
Metro FY24 Adopted Budget,Advertising,$27.7
Metro FY24 Adopted Budget,Transportation Development Act (TDA),$600.0
Metro FY24 Adopted Budget,State Transit Assistance (STA) / SB1 STA (1),$188.0
Metro FY24 Adopted Budget,SB1 State of Good Repair,$26.6
Metro FY24 Adopted Budget,Proposition A,$1200.0
Metro FY24 Adopted Budget,Proposition C,$1200.0
Metro FY24 Adopted Budget,Measure R,$1200.0
Metro FY24 Adopted Budget,Measure M,$1200.0
Metro FY24 Adopted Budget,Grant Reimbursements,$1946.7
Metro FY24 Adopted Budget,Bond Proceeds & Prior Year Carryover,$1125.7
Metro FY24 Adopted Budget,Total Resources,$9017.9
Metro FY24 Adopted Budget,Expenditures (in millions)
Metro FY24 Adopted Budget,Transportation Infrastructure Development,$2210.3
Metro FY24 Adopted Budget,Transit Construction,$1919.2
Metro FY24 Adopted Budget,Transit Planning,$291.1
Metro FY24 Adopted Budget,Metro Transit – Operations,$2363.7
Metro FY24 Adopted Budget,Operations & Maintenance,$2333.4
Metro FY24 Adopted Budget,Regional Operating Services,$30.2
Metro FY24 Adopted Budget,Metro Transit Capital Improvement Program (CIP),$541.4
Metro FY24 Adopted Budget,State of Good Repair,$366.1
Metro FY24 Adopted Budget,Other Asset Improvements,$175.3
Metro FY24 Adopted Budget,Regional Allocation and Pass-Throughs,$2057.7
Metro FY24 Adopted Budget,Local Agencies,$1213.6
Metro FY24 Adopted Budget,Regional Transit,$781.2
Metro FY24 Adopted Budget,Regional Federal Grants,$30.4
Metro FY24 Adopted Budget,Fare Assistance,$32.5
Metro FY24 Adopted Budget,Regional Rail,$302.9
Metro FY24 Adopted Budget,Metro Regional Rail,$158.0
Metro FY24 Adopted Budget,Metrolink,$144.9
Metro FY24 Adopted Budget,General Planning & Programs,$233.7
Metro FY24 Adopted Budget,Active Transportation, Bike & Other,$83.4
Metro FY24 Adopted Budget,Financial, Grants Management & Admin,$60.4
Metro FY24 Adopted Budget,Property Management,$85.0
Metro FY24 Adopted Budget,Public Private Partnership (P3) / Unsolicited Proposals,$4.9
Metro FY24 Adopted Budget,Unsolicited Proposals,$4.9
Metro FY24 Adopted Budget,Congestion Management,$131.9
Metro FY24 Adopted Budget,ExpressLanes,$61.9
Metro FY24 Adopted Budget,Freeway Service Patrol,$41.4
Metro FY24 Adopted Budget,Motorist Services,$14.7
Metro FY24 Adopted Budget,Rideshare Services,$13.9
Metro FY24 Adopted Budget,Debt Program,$489.8
Metro FY24 Adopted Budget,Oversight & Administration,$84.3
Metro FY24 Adopted Budget,Total Expenses,$9017.9
