FISCAL YEAR,FISCAL MONTH NAME,DEPARTMENT NAME,REVENUE SOURCE NAME,REVENUE COLLECTED,FUND NAME,REVENUE SOURCE CLASS NAME,REVENUE SOURCE CATEGORY NAME,REVENUE SOURCE CATEGORY,FISCAL MONTH,FISCAL PERIOD,FUND,DEPARTMENT,REVENUE SOURCE CLASS,REVENUE SOURCE
2012,APRIL,TRANSPORTATION,INTERFD OPER TRANS-SP GAS TAX,374675.00,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,10,201210,100,94,561,5627
2012,APRIL,TRANSPORTATION,INTERFD OPER TRANS SP PKG REV,164208.34,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,10,201210,100,94,561,5617
2012,APRIL,TRANSPORTATION,INTERFD OPER TRANS-ST DAM RES FEE,-541655.00,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,10,201210,100,94,561,5649
2012,APRIL,TRANSPORTATION,INTERFD OPER TRANS-TRAFFIC SAFETY,1138660.64,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,10,201210,100,94,561,5628
2012,APRIL,TRANSPORTATION,LEASES & RENTALS-OTHER,492.21,PROPOSITION A LOCAL TRANSIT,RENTS AND CONCESSIONS,REVENUE FR USE OF MONEY & PROP,49,10,201210,385,94,493,4934
2012,APRIL,TRANSPORTATION,LEASES & RENTALS-OTHER,2410.00,PROPOSITION C ANTIGRIDLOCK IMP,RENTS AND CONCESSIONS,REVENUE FR USE OF MONEY & PROP,49,10,201210,540,94,493,4934
2012,APRIL,TRANSPORTATION,LEASES & RENTALS-OTHER,90694.83,SPECIAL PARKING REVENUE,RENTS AND CONCESSIONS,REVENUE FR USE OF MONEY & PROP,49,10,201210,363,94,493,4934
2012,APRIL,TRANSPORTATION,MISCELLANEOUS REVENUE-OTHERS,122.64,GENERAL FUND (GENERAL BUDGET),MISCELLANEOUS REVENUES,OTHER REVENUE SOURCES,51,10,201210,100,94,516,5188
2012,APRIL,TRANSPORTATION,MISCELLANEOUS REVENUE-OTHERS,56414.66,PROPOSITION A LOCAL TRANSIT,MISCELLANEOUS REVENUES,OTHER REVENUE SOURCES,51,10,201210,385,94,516,5188
2012,APRIL,TRANSPORTATION,MISCELLANEOUS REVENUE-OTHERS,-14825.00,SPECIAL PARKING REVENUE,MISCELLANEOUS REVENUES,OTHER REVENUE SOURCES,51,10,201210,363,94,516,5188
2012,APRIL,TRANSPORTATION,MISCELLANEOUS REVENUE-OTHERS,513.30,TRANSP REGULATION &ENFORCEMENT,MISCELLANEOUS REVENUES,OTHER REVENUE SOURCES,51,10,201210,596,94,516,5188
2012,APRIL,TRANSPORTATION,MISCELLANEOUS SERVICE CHARGES,12572.50,GENERAL FUND (GENERAL BUDGET),OTHER CURRENT SERVICE CHARGES,CHARGES FOR CURRENT SERVICES,40,10,201210,100,94,465,4651
2012,APRIL,TRANSPORTATION,MISCELLANEOUS SERVICE CHARGES,737840.27,PROPOSITION A LOCAL TRANSIT,OTHER CURRENT SERVICE CHARGES,CHARGES FOR CURRENT SERVICES,40,10,201210,385,94,465,4651
2012,APRIL,TRANSPORTATION,MISC-ST SIDEWALK & CURB REPAIRS,20215.95,GENERAL FUND (GENERAL BUDGET),STREET SIDEWALK & CURB REPAIRS,CHARGES FOR CURRENT SERVICES,40,10,201210,100,94,428,4295
2012,APRIL,TRANSPORTATION,OTHER FEDERAL GRANTS,431742.84,TRANSPORTATION GRANTS FUND,OTHER INTERGOVTL-FEDERAL,REVENUES FR OTH GOVT AGCY-FED,36,10,201210,655,94,368,3684
2012,APRIL,TRANSPORTATION,PARKING FACILITIES REVENUE,453229.99,SPECIAL PARKING REVENUE,PARKING REVENUES,CHARGES FOR CURRENT SERVICES,40,10,201210,363,94,449,4495
2012,APRIL,TRANSPORTATION,PARKING METER & LOT MAINTENANC,2371009.26,GENERAL FUND (GENERAL BUDGET),REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,10,201210,100,94,530,5303
2012,APRIL,TRANSPORTATION,"PENALTY-DRIVER,VEHICLE & ATTEN",3150.00,TRANSP REGULATION &ENFORCEMENT,FORFEITURES & PENALTIES,FINES AND FORFEITURES,48,10,201210,596,94,483,4832
2012,APRIL,TRANSPORTATION,PENALTY-TAXICAB OPERATOR,1740.00,TRANSP REGULATION &ENFORCEMENT,FORFEITURES & PENALTIES,FINES AND FORFEITURES,48,10,201210,596,94,483,4833
2012,APRIL,TRANSPORTATION,PLANNING EXPEDITED REL COST,87965.79,GENERAL FUND (GENERAL BUDGET),REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,10,201210,100,94,530,5360
2012,APRIL,TRANSPORTATION,PREFERENTIAL PARKING,-56.50,PREFERENTIAL PARKING DISTRICTS,STREETS AND CURB PERMITS,LICENSES AND PERMITS,32,10,201210,44P,94,324,3257
2012,APRIL,TRANSPORTATION,PROP A LOCAL TRANSIT REL COST,482411.00,GENERAL FUND (GENERAL BUDGET),REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,10,201210,100,94,530,5337
2012,APRIL,TRANSPORTATION,PROPOSITION 1B-LOCAL ROAD & ST,40000.00,TRANSPORTATION GRANTS FUND,STATE GRANTS/AGREEMENTS,REVENUES FR OTH GOVT AGCY-STAT,33,10,201210,655,94,336,3372
2012,APRIL,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT TAX,4026458.81,PROPOSITION A LOCAL TRANSIT,TRANSPORTATION TAX,TAXES,30,10,201210,385,94,313,3131
2012,APRIL,TRANSPORTATION,PROPOSITION C LOCAL TRANSIT TAX,3339787.54,PROPOSITION C ANTIGRIDLOCK IMP,TRANSPORTATION TAX,TAXES,30,10,201210,540,94,313,3132
2012,APRIL,TRANSPORTATION,PROPOSITION R BUS OPERATION RECEIPT,335207.58,MEASURE R BUS OPERATIONS FUND,TRANSPORTATION TAX,TAXES,30,10,201210,51R,94,313,3134
2012,APRIL,TRANSPORTATION,PUBLIC RIGHT OF WAY CONST ENF,1095.00,GENERAL FUND (GENERAL BUDGET),OTHER LICENSES & PERMITS,LICENSES AND PERMITS,32,10,201210,100,94,328,3293
2012,APRIL,TRANSPORTATION,REIMB FROM OTHER AGENCIES,2403868.87,PROPOSITION A LOCAL TRANSIT,REIMB FROM OTHER AGENGIES,REVENUES FROM OTHER AGENCIES,38,10,201210,385,94,381,3811
2012,APRIL,TRANSPORTATION,REIMB FROM OTHER AGENCIES,1319.94,PROPOSITION C ANTIGRIDLOCK IMP,REIMB FROM OTHER AGENGIES,REVENUES FROM OTHER AGENCIES,38,10,201210,540,94,381,3811
2012,APRIL,TRANSPORTATION,REIMB FROM OTHER FUNDS,105701.96,GENERAL FUND (GENERAL BUDGET),REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,10,201210,100,94,530,5301
2012,APRIL,TRANSPORTATION,REIMB FR OTH FDS-PREF PARKING,336776.11,GENERAL FUND (GENERAL BUDGET),REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,10,201210,100,94,530,5310
2012,APRIL,TRANSPORTATION,REIMB-METRO RAIL PROJECT,191456.68,GENERAL FUND (GENERAL BUDGET),REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,10,201210,100,94,530,5311
2012,APRIL,TRANSPORTATION,REIMB-METRO RAIL PROJECT,2059.56,PROPOSITION A LOCAL TRANSIT,REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,10,201210,385,94,530,5311
2012,APRIL,TRANSPORTATION,REIMB-METRO RAIL PROJECT,840207.55,PROPOSITION C ANTIGRIDLOCK IMP,REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,10,201210,540,94,530,5311
2012,APRIL,TRANSPORTATION,REVENUE FROM OTHER AGENCIES,25445.79,PROPOSITION C ANTIGRIDLOCK IMP,REVENUE FROM OTHER AGENCIES,REVENUES FROM OTHER AGENCIES,38,10,201210,540,94,385,3857
2012,APRIL,TRANSPORTATION,SALVAGE RECEIPTS,690.00,GENERAL FUND (GENERAL BUDGET),SALE OF FIXED ASSETS,OTHER REVENUE SOURCES,51,10,201210,100,94,514,5142
2012,APRIL,TRANSPORTATION,SERVICE TO WATER & POWER,447094.10,DEPT TRANSPORTATION TRUST,QUASI-EXTERNAL TRANSACTION,CHARGES FOR CURRENT SERVICES,40,10,201210,840,94,459,4596
2012,APRIL,TRANSPORTATION,SEWER CONS & MAIN RELATED COST,7667.00,GENERAL FUND (GENERAL BUDGET),REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,10,201210,100,94,530,5328
2012,APRIL,TRANSPORTATION,SPECIAL ENV IMPACT REPORT FEE,92994.21,GENERAL FUND (GENERAL BUDGET),ENGR INSPECTION & OTHER CHARGES,CHARGES FOR CURRENT SERVICES,40,10,201210,100,94,420,4240
2012,APRIL,TRANSPORTATION,SPECIAL ENV IMPACT REPORT FEE,1747.79,TRANSPORTATION REVIEW FEE FUND,ENGR INSPECTION & OTHER CHARGES,CHARGES FOR CURRENT SERVICES,40,10,201210,50Y,94,420,4240
2012,APRIL,TRANSPORTATION,SPECIAL PARKING REVENUE,4262334.22,SPECIAL PARKING REVENUE,PARKING REVENUES,CHARGES FOR CURRENT SERVICES,40,10,201210,363,94,449,4494
2012,APRIL,TRANSPORTATION,SPECIAL PARKING REVENUE,2400.00,VENTURA/CAHUENGA CORRIDOR PLAN,PARKING REVENUES,CHARGES FOR CURRENT SERVICES,40,10,201210,523,94,449,4494
2012,APRIL,TRANSPORTATION,STREET NAME SIGNS,10300.16,GENERAL FUND (GENERAL BUDGET),STREET SIDEWALK & CURB REPAIRS,CHARGES FOR CURRENT SERVICES,40,10,201210,100,94,428,4294
2012,APRIL,TRANSPORTATION,TAXICAB VEHICLE BANDIT FEE,52560.00,TRANSP REGULATION &ENFORCEMENT,OTHER LICENSES & PERMITS,LICENSES AND PERMITS,32,10,201210,596,94,328,3292
2012,APRIL,TRANSPORTATION,TEMPORARY TRAFFIC SIGNS,56566.54,GENERAL FUND (GENERAL BUDGET),STREET SIDEWALK & CURB REPAIRS,CHARGES FOR CURRENT SERVICES,40,10,201210,100,94,428,4293
2012,APRIL,TRANSPORTATION,TRANSPORTATION CONTROL SERVICES,29001.49,GENERAL FUND (GENERAL BUDGET),OTHER GEN GOVT SERVICES,CHARGES FOR CURRENT SERVICES,40,10,201210,100,94,432,4355
2012,APRIL,TRANSPORTATION,TRANSPORTATION IMPACT ASSMT FEE,600.00,COASTAL TRANSP CORRIDOR TRUST,ASSESSMENTS,ASSESSMENTS,31,10,201210,447,94,317,3178
2012,APRIL,TRANSPORTATION,TRANSPORTATION IMPACT ASSMT FEE,98510.82,VENTURA/CAHUENGA CORRIDOR PLAN,ASSESSMENTS,ASSESSMENTS,31,10,201210,523,94,317,3178
2012,APRIL,TRANSPORTATION,TRANSPORTATION IMPACT ASSMT FEE,8100.00,WEST LA TRANSP IMPROV & MITIGA,ASSESSMENTS,ASSESSMENTS,31,10,201210,681,94,317,3178
2012,APRIL,TRANSPORTATION,TRNSP MITIGATION RELATED COST,303719.91,GENERAL FUND (GENERAL BUDGET),REIMB FROM OTHER FUNDS,REIMBURSEMENT FR OTHER FUNDS,53,10,201210,100,94,530,5330
2012,APRIL,TRANSPORTATION,U PERMITS,229412.16,PERMIT PARKING PROG REV FD,STREETS AND CURB PERMITS,LICENSES AND PERMITS,32,10,201210,49C,94,324,3244
2012,APRIL,TRANSPORTATION,VEHICLE APPLICATION,194484.00,GENERAL FUND (GENERAL BUDGET),OTHER LICENSES & PERMITS,LICENSES AND PERMITS,32,10,201210,100,94,328,3287
2012,APRIL,TRANSPORTATION,WARNING SIGNS,7793.41,GENERAL FUND (GENERAL BUDGET),STREET SIDEWALK & CURB REPAIRS,CHARGES FOR CURRENT SERVICES,40,10,201210,100,94,428,4292
2012,APRIL,TRANSPORTATION,WITNESS FEES,3200.00,GENERAL FUND (GENERAL BUDGET),OTHER GEN GOVT SERVICES,CHARGES FOR CURRENT SERVICES,40,10,201210,100,94,432,4338
2022,OCTOBER,TRANSPORTATION,"PENALTY-DRIVER,VEHICLE & ATTEN",120.00,TRANSP REGULATION &ENFORCEMENT,FORFEITURES & PENALTIES,FINES AND FORFEITURES,48,4,202204,596,94,483,4832
2022,OCTOBER,TRANSPORTATION,BAD CHECK COLLECTION FEES,350.00,GENERAL FUND (GENERAL BUDGET),OTHER GEN GOVT SERVICES,CHARGES FOR CURRENT SERVICES,40,4,202204,100,94,432,4332
2022,OCTOBER,TRANSPORTATION,SALVAGE RECEIPTS,2170.53,GENERAL FUND (GENERAL BUDGET),SALE OF FIXED ASSETS,OTHER REVENUE SOURCES,51,4,202204,100,94,514,5142
2022,OCTOBER,TRANSPORTATION,HOLLYWOOD/HIGHLAND LOT 745,1017726.25,SPECIAL PARKING REVENUE,PARKING REVENUES,CHARGES FOR CURRENT SERVICES,40,4,202204,363,94,449,4491
2012,AUGUST,TRANSPORTATION,BAD CHECK COLLECTION FEES,2810.00,GENERAL FUND (GENERAL BUDGET),OTHER GEN GOVT SERVICES,CHARGES FOR CURRENT SERVICES,40,2,201202,100,94,432,4332
2012,AUGUST,TRANSPORTATION,CREDIT CARD SERVICE CHARGE,36163.69,GENERAL FUND (GENERAL BUDGET),OTHER GEN GOVT SERVICES,CHARGES FOR CURRENT SERVICES,40,2,201202,100,94,432,4357
2012,AUGUST,TRANSPORTATION,DAMAGES REPAIRED TRAFFICSAFETY,49138.78,GENERAL FUND (GENERAL BUDGET),STREET SIDEWALK & CURB REPAIRS,CHARGES FOR CURRENT SERVICES,40,2,201202,100,94,428,4289
2012,AUGUST,TRANSPORTATION,DRIVER PERMIT,80691.00,GENERAL FUND (GENERAL BUDGET),OTHER LICENSES & PERMITS,LICENSES AND PERMITS,32,2,201202,100,94,328,3289
2012,AUGUST,TRANSPORTATION,FILMING PERMITS,109972.50,GENERAL FUND (GENERAL BUDGET),OTHER LICENSES & PERMITS,LICENSES AND PERMITS,32,2,201202,100,94,328,3282
2012,AUGUST,TRANSPORTATION,FINGER PRINT FEES,380.00,GENERAL FUND (GENERAL BUDGET),OTHER CURRENT SERVICE CHARGES,CHARGES FOR CURRENT SERVICES,40,2,201202,100,94,465,4653
2012,AUGUST,TRANSPORTATION,FRANCHISE INCOME-RAILWAYS,465.00,GENERAL FUND (GENERAL BUDGET),FRANCHISES INCOME,TAXES,30,2,201202,100,94,306,3064
2012,AUGUST,TRANSPORTATION,HOLLYWOOD/HIGHLAND LOT 745,955804.15,SPECIAL PARKING REVENUE,PARKING REVENUES,CHARGES FOR CURRENT SERVICES,40,2,201202,363,94,449,4491
2012,AUGUST,TRANSPORTATION,IMPOUND FEE,1063.00,GENERAL FUND (GENERAL BUDGET),OTHER CURRENT SERVICE CHARGES,CHARGES FOR CURRENT SERVICES,40,2,201202,100,94,465,4662
2012,AUGUST,TRANSPORTATION,INTERFD OPER TRANS-OTHER FUNDS,17450.00,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,2,201202,100,94,561,5654
2012,AUGUST,TRANSPORTATION,INTERFD OPER TRANS-PROP C,2103110.00,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,2,201202,100,94,561,5638
2012,AUGUST,TRANSPORTATION,INTERFD OPER TRANS-SEWER CONS,8248.00,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,2,201202,100,94,561,5615
2012,AUGUST,TRANSPORTATION,INTERFD OPER TRANS-SP GAS TAX,374675.00,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,2,201202,100,94,561,5627
2012,AUGUST,TRANSPORTATION,INTERFD OPER TRANS-ST DAM RES FEE,108335.00,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,2,201202,100,94,561,5649
2012,AUGUST,TRANSPORTATION,INTERFD OPER TRANS-TRAFFIC SAFETY,689482.48,GENERAL FUND (GENERAL BUDGET),INTERFUND OPERATING TRANSFER,OTHER FINANCING SOURCES,56,2,201202,100,94,561,5628
2012,AUGUST,TRANSPORTATION,LEASES & RENTALS-OTHER,825.59,PROPOSITION A LOCAL TRANSIT,RENTS AND CONCESSIONS,REVENUE FR USE OF MONEY & PROP,49,2,201202,385,94,493,4934
2012,AUGUST,TRANSPORTATION,LEASES & RENTALS-OTHER,-4341768.27,SPECIAL PARKING REVENUE,RENTS AND CONCESSIONS,REVENUE FR USE OF MONEY & PROP,49,2,201202,363,94,493,4934
2012,AUGUST,TRANSPORTATION,MAINTENANCE AGREEMENT,11881.26,GENERAL FUND (GENERAL BUDGET),STREET SIDEWALK & CURB REPAIRS,CHARGES FOR CURRENT SERVICES,40,2,201202,100,94,428,4290
2012,AUGUST,TRANSPORTATION,MISCELLANEOUS REVENUE-OTHERS,58869.11,PROPOSITION A LOCAL TRANSIT,MISCELLANEOUS REVENUES,OTHER REVENUE SOURCES,51,2,201202,385,94,516,5188
2012,AUGUST,TRANSPORTATION,MISCELLANEOUS REVENUE-OTHERS,87160.00,SPECIAL PARKING REVENUE,MISCELLANEOUS REVENUES,OTHER REVENUE SOURCES,51,2,201202,363,94,516,5188
2012,AUGUST,TRANSPORTATION,MISCELLANEOUS SERVICE CHARGES,355256.20,PROPOSITION A LOCAL TRANSIT,OTHER CURRENT SERVICE CHARGES,CHARGES FOR CURRENT SERVICES,40,2,201202,385,94,465,4651
